intent,patterns,category
cancel_order,I have a question about cancelling an order,ORDER
cancel_order,help canceling the order I have made,ORDER
cancel_order,I do not know how to cancel an order I have made,ORDER
cancel_order,where can I cancel the last order I made?,ORDER
cancel_order,I don't want the last order I made,ORDER
cancel_order,where could I cancel my order?,ORDER
cancel_order,I have to cancel the order I made,ORDER
cancel_order,how could I get information about cancelling orders?,ORDER
cancel_order,I want information about canceling orders,ORDER
cancel_order,assistance cancelling an order,ORDER
cancel_order,is it possible to cancel the last order?,ORDER
cancel_order,could you give me information about order cancellations?,ORDER
cancel_order,I need help with canceling the last order,ORDER
cancel_order,how can I cancel the last order I have made?,ORDER
cancel_order,how could I find information about cancelling an order?,ORDER
cancel_order,I would like to know more about order cancellations,ORDER
cancel_order,could you help me cancel the last order I have made?,ORDER
cancel_order,I want assistance to cancel the last order,ORDER
cancel_order,I have a problem with cancelling the order I made,ORDER
cancel_order,how could I cancel the last order I made?,ORDER
cancel_order,order cancelation,ORDER
cancel_order,I want assistance to cancel the order I have made,ORDER
cancel_order,how do I cancel the last order I have made?,ORDER
cancel_order,help me cancelling my order,ORDER
cancel_order,I have a problem with cancelling an order I made,ORDER
change_order,I have got to change an item of an order,ORDER
change_order,can you help me removing several items from an order?,ORDER
change_order,could you help me change an order I have made?,ORDER
change_order,I cannot change an item of an order,ORDER
change_order,problem with adding something,ORDER
change_order,where could I find information about changing an order?,ORDER
change_order,I don't know how I could add some items,ORDER
change_order,help to change an order,ORDER
change_order,I want assistance to remove something,ORDER
change_order,remove some items from an order,ORDER
change_order,can you help me changing the order I made?,ORDER
change_order,I cannot remove several items,ORDER
change_order,is it possible to change the order I have made?,ORDER
change_order,I want to remove some items from an order,ORDER
change_order,change an order,ORDER
change_order,I cannot change the last order,ORDER
change_order,is it possible to add some items?,ORDER
change_order,help changing an order,ORDER
change_order,I have a problem with changing my order,ORDER
change_order,could you help me add some items?,ORDER
change_order,I need assistance to change several items of an order,ORDER
change_order,I have problems with removing an item,ORDER
change_order,can you help me remove some items from an order?,ORDER
change_order,I have problems with removing some items,ORDER
change_order,I am trying to change an order I made,ORDER
change_order,I have got to add an item,ORDER
change_order,I want help adding some items to an order,ORDER
change_order,I need assistance to remove an item from an order,ORDER
change_order,is it possible to remove some items?,ORDER
change_order,how can I change the last order I have made?,ORDER
change_order,I need assistance to remove an item,ORDER
change_order,help me adding several items,ORDER
change_order,assistance to add something,ORDER
change_order,I need assistance to add an item,ORDER
change_order,how could I add an item?,ORDER
change_order,would it be possible to change some items of an order?,ORDER
change_order,how do I change several items of an order?,ORDER
change_order,I have a problem with removing something from an order,ORDER
change_order,I don't know how I can add an item to an order,ORDER
change_shipping_address,I do not know how I could change my shipping address,SHIPPING_ADDRESS
change_shipping_address,I need assistance changing the shipping address,SHIPPING_ADDRESS
change_shipping_address,can you tell me about updating the address?,SHIPPING_ADDRESS
change_shipping_address,I have errors trying to update my shipping address,SHIPPING_ADDRESS
change_shipping_address,want support changing the shipping address,SHIPPING_ADDRESS
change_shipping_address,i do not know how to editmy shipping address,SHIPPING_ADDRESS
change_shipping_address,I have issues changing my shipping address,SHIPPING_ADDRESS
change_shipping_address,assistance changing the shipping address,SHIPPING_ADDRESS
change_shipping_address,I want information about a shipping address change,SHIPPING_ADDRESS
change_shipping_address,I would like to change my shipping address,SHIPPING_ADDRESS
change_shipping_address,I want help changing the shipping address,SHIPPING_ADDRESS
change_shipping_address,I don't know what I need to do to change my shipping address,SHIPPING_ADDRESS
change_shipping_address,I want help trying to change my shipping address,SHIPPING_ADDRESS
change_shipping_address,I have a trouble trying to change the address,SHIPPING_ADDRESS
change_shipping_address,the address has changed can i edit it,SHIPPING_ADDRESS
change_shipping_address,I need help changing the shipping address,SHIPPING_ADDRESS
change_shipping_address,I want to know about changing my shipping address,SHIPPING_ADDRESS
change_shipping_address,can you help me change my shipping address?,SHIPPING_ADDRESS
change_shipping_address,I do not know how I can change the shipping address,SHIPPING_ADDRESS
change_shipping_address,I would like to change the shipping address,SHIPPING_ADDRESS
change_shipping_address,information about a shipping address change,SHIPPING_ADDRESS
change_shipping_address,I cannot change the shipping address,SHIPPING_ADDRESS
change_shipping_address,help me to change my shipping address,SHIPPING_ADDRESS
change_shipping_address,I want help to change my shipping address,SHIPPING_ADDRESS
change_shipping_address,could you tell me about changing the shipping address?,SHIPPING_ADDRESS
change_shipping_address,I try to correct my shipping address,SHIPPING_ADDRESS
change_shipping_address,can you tell me about changing my shipping address?,SHIPPING_ADDRESS
change_shipping_address,I would like information about changing the shipping address,SHIPPING_ADDRESS
change_shipping_address,i want assistance to modify the address,SHIPPING_ADDRESS
change_shipping_address,help with a shipping address change,SHIPPING_ADDRESS
change_shipping_address,I would like information about changing my shipping address,SHIPPING_ADDRESS
change_shipping_address,I want assistance to change my shipping address,SHIPPING_ADDRESS
change_shipping_address,supports trying to update my shipping address,SHIPPING_ADDRESS
change_shipping_address,I cannot modify the  shipping address,SHIPPING_ADDRESS
